system,asset,period,scenario,mean_return,mdd,sharpe,sortino
XGBoost,AAPL,2008-2009,S0,0.4098,2.9786,1.1896,45.6335
XGBoost,AAPL,2008-2009,S1,0.4241,2.1694,1.2233,44.9342
XGBoost,AAPL,2008-2009,S2,0.4236,2.1898,1.2223,45.0238
XGBoost,AAPL,2020-2021,S0,0.0764,3.1629,0.9963,7.0357
XGBoost,AAPL,2020-2021,S1,0.0894,2.0586,1.1578,8.0926
XGBoost,AAPL,2020-2021,S2,0.0889,2.09,1.1512,8.0492
XGBoost,AAPL,2022-2023,S0,0.6847,2.3043,0.9374,62.6543
XGBoost,AAPL,2022-2023,S1,0.7025,1.5707,0.9556,58.5534
XGBoost,AAPL,2022-2023,S2,0.7018,1.5738,0.9551,58.723
XGBoost,AAPL,2024-2025,S0,0.1986,6.1135,1.3953,17.8775
XGBoost,AAPL,2024-2025,S1,0.215,3.8827,1.5007,18.3415
XGBoost,AAPL,2024-2025,S2,0.2144,3.945,1.4971,18.2994
XGBoost,Gold,2008-2009,S0,0.171,3.3629,0.9242,14.2652
XGBoost,Gold,2008-2009,S1,0.1862,2.621,1.0004,14.8532
XGBoost,Gold,2008-2009,S2,0.185,2.6739,0.9943,14.9515
XGBoost,Gold,2020-2021,S0,0.1162,2.6301,1.7392,13.1158
XGBoost,Gold,2020-2021,S1,0.1318,2.106,1.9698,14.0141
XGBoost,Gold,2020-2021,S2,0.1301,2.1571,1.9457,13.9433
XGBoost,Gold,2022-2023,S0,0.0918,3.4188,1.6863,8.505
XGBoost,Gold,2022-2023,S1,0.1065,2.2893,1.948,9.6156
XGBoost,Gold,2022-2023,S2,0.1048,2.4147,1.9182,9.5582
XGBoost,Gold,2024-2025,S0,0.0595,2.7732,1.3538,6.0519
XGBoost,Gold,2024-2025,S1,0.0727,2.259,1.6487,7.0654
XGBoost,Gold,2024-2025,S2,0.0714,2.305,1.6187,7.0047
